sample,method,threshold,sig,p_value
DO217786,QP,0,COSMIC_3,6.95E-133
DO217786,QP,0.01,COSMIC_3,3.74E-100
DO217786,QP,0.05,COSMIC_3,1
DO217786,QP,0.1,COSMIC_3,1
DO217786,QP,0.2,COSMIC_3,1
DO217787,QP,0,COSMIC_3,7.66E-135
DO217787,QP,0.01,COSMIC_3,1.47E-94
DO217787,QP,0.05,COSMIC_3,1
DO217787,QP,0.1,COSMIC_3,1
DO217787,QP,0.2,COSMIC_3,1
DO217788,QP,0,COSMIC_3,5.63E-28
DO217788,QP,0.01,COSMIC_3,1
DO217788,QP,0.05,COSMIC_3,1
DO217788,QP,0.1,COSMIC_3,1
DO217788,QP,0.2,COSMIC_3,1
DO217800,QP,0,COSMIC_3,9.88E-52
DO217800,QP,0.01,COSMIC_3,1
DO217800,QP,0.05,COSMIC_3,1
DO217800,QP,0.1,COSMIC_3,1
DO217800,QP,0.2,COSMIC_3,1
DO217826,QP,0,COSMIC_3,5.45E-151
DO217826,QP,0.01,COSMIC_3,8.78E-148
DO217826,QP,0.05,COSMIC_3,0.004819449
DO217826,QP,0.1,COSMIC_3,1
DO217826,QP,0.2,COSMIC_3,1
DO217844,QP,0,COSMIC_3,8.41E-98
DO217844,QP,0.01,COSMIC_3,1
DO217844,QP,0.05,COSMIC_3,1
DO217844,QP,0.1,COSMIC_3,1
DO217844,QP,0.2,COSMIC_3,1
DO217865,QP,0,COSMIC_3,1.60E-149
DO217865,QP,0.01,COSMIC_3,1.21E-138
DO217865,QP,0.05,COSMIC_3,0.009937393
DO217865,QP,0.1,COSMIC_3,1
DO217865,QP,0.2,COSMIC_3,1
DO217887,QP,0,COSMIC_3,3.36E-164
DO217887,QP,0.01,COSMIC_3,1.77E-164
DO217887,QP,0.05,COSMIC_3,5.49E-91
DO217887,QP,0.1,COSMIC_3,1
DO217887,QP,0.2,COSMIC_3,1
DO217907,QP,0,COSMIC_3,3.28E-34
DO217907,QP,0.01,COSMIC_3,1
DO217907,QP,0.05,COSMIC_3,1
DO217907,QP,0.1,COSMIC_3,1
DO217907,QP,0.2,COSMIC_3,1
DO217908,QP,0,COSMIC_3,1.67E-165
DO217908,QP,0.01,COSMIC_3,1.68E-165
